Twitter ID,Score,Num Tweets,Num tweets including at least one term
475390714,0,186,0
222874113,0,200,0
561560545,0,201,0
191549788,0,199,0
14558543,1,199,1
1188148028,0,201,0
21326579,0,200,0
17934964,0,200,0
112517348,0,198,0
24839123,0,200,0
496253544,2,200,2
254210313,0,63,0
552765716,0,201,0
252824869,1,103,1
74660931,0,201,0
566579915,48,279,48
223516060,1,200,1
23698727,3,203,3
40756532,0,200,0
204844864,1,200,1
543655428,1,200,1
215983210,0,200,0
89155640,4,201,4
149969383,0,202,0
273283728,0,2,0
1009127808,3,199,3
335516271,0,198,0
224400947,1,200,1
374643582,5,199,5
58125261,0,201,0
283258239,11,200,11
466566898,0,199,0
17553618,0,235,0
256956387,0,200,0
89715294,0,200,0
5661632,0,200,0
237248191,0,200,0
26580562,0,200,0
1200640753,0,31,0
501380555,0,210,0
300958574,1,201,1
863009408,1,200,1
125875248,8,200,8
497410944,2,200,2
524754019,6,200,5
148943350,0,201,0
495905313,2,199,2
270191765,0,202,0
57103588,1,200,1
87344994,0,30,0
595295537,0,199,0
1147659020,0,34,0
72663989,3,200,3
269485235,0,200,0
316910129,0,201,0
501642872,0,200,0
1052983934,0,201,0
28839997,0,200,0
78069472,0,200,0
1204305224,0,17,0
1132335180,0,15,0
46987778,0,200,0
384688216,0,199,0
47845089,1,199,1
354303434,0,200,0
191228643,0,32,0
737364186,0,200,0
266855812,14,200,14
18083531,0,200,0
600839411,0,200,0
275185937,0,201,0
77298060,7,200,7
324086895,0,204,0
23002145,0,200,0
962950405,0,199,0
76919759,0,230,0
1016034486,0,197,0
179074921,0,200,0
327747513,1,199,1
841595791,0,106,0
351211110,1,199,1
409370463,0,200,0
22173966,3,200,3
375303986,0,201,0
111715724,0,203,0
1102426495,1,200,1
65732483,0,199,0
893630857,1,199,1
115813342,2,197,2
596817600,0,200,0
14485907,0,200,0
34121956,1,200,1
22963074,0,200,0
256775505,4,199,4
376164050,0,200,0
458617533,1,200,1
22842362,0,201,0
970856432,0,68,0
380392388,1,200,1
44596346,0,239,0
634874281,0,200,0
271074952,0,200,0
301253362,0,200,0
369088384,16,200,16
29024261,0,2,0
550250082,2,209,2
82494649,2,214,2
326900818,0,200,0
283292134,0,202,0
16826178,0,200,0
40248890,0,200,0
97839765,0,201,0
927601921,0,40,0
84969179,2,200,2
467578012,2,199,2
592824354,0,199,0
141246833,0,200,0
608450744,0,200,0
387381118,0,111,0
169236244,3,200,3
136679359,0,199,0
384357977,0,199,0
504938306,0,200,0
20753028,0,200,0
18589172,3,201,3
104626843,0,201,0
107568917,0,200,0
592444926,0,199,0
374184788,0,194,0
224438454,0,201,0
83180342,1,200,1
414031631,0,200,0
247875083,0,198,0
115145326,0,200,0
1243862612,0,50,0
280269477,0,200,0
32750374,0,155,0
23259960,4,200,4
171606833,0,125,0
280235035,0,199,0
467576758,3,200,3
1199927678,0,16,0
558827088,0,201,0
247402941,3,200,3
583002992,0,202,0
851805686,0,200,0
98248395,0,200,0
624961616,2,199,2
87159394,0,200,0
25955471,1,199,1
294174645,4,199,4
588739585,0,201,0
24892203,0,202,0
417143096,1,199,1
212942917,0,200,0
704976138,0,203,0
92913722,0,200,0
501910165,0,199,0
296553072,3,200,2
281758264,0,140,0
855136358,0,200,0
631155719,0,200,0
412102984,0,199,0
635864855,0,201,0
1275672991,0,80,0
19825011,1,205,1
303358010,0,200,0
829767386,0,131,0
20495800,0,200,0
174085518,0,66,0
113522488,0,200,0
542706706,34,356,32
399371605,1,200,1
334261912,0,200,0
282894960,3,209,3
32745985,0,203,0
26548594,0,200,0
378298356,0,205,0
959017472,0,200,0
12843532,0,200,0
145524578,3,208,3
64854080,2,88,2
16591660,0,161,0
23345269,0,200,0
300756828,0,194,0
1110761798,1,88,1
303944876,0,199,0
69036362,0,201,0
934620770,0,200,0
324029056,0,45,0
20622618,0,200,0
524730862,6,200,6
16422863,1,205,1
204188190,0,200,0
770671867,0,210,0
171041974,0,201,0
544603490,3,200,3
335470110,0,200,0
374545627,2,200,2
1152097489,0,201,0
435707754,0,201,0
211294453,0,201,0
611123793,0,201,0
16187085,0,200,0
313332496,0,200,0
21701979,0,200,0
268896921,0,200,0
139949751,0,200,0
781099260,0,199,0
609603108,0,201,0
615325412,0,1,0
216822870,1,200,1
582298828,0,202,0
21631912,0,201,0
236036725,0,198,0
363064080,2,211,2
166638826,1,200,1
70377745,0,201,0
39103314,0,199,0
576929601,2,200,1
448607351,1,38,1
232519990,1,226,1
529665584,1,201,1
1272293930,0,13,0
215839962,1,196,1
64545499,1,205,1
58023261,0,200,0
184844629,0,128,0
273505322,0,200,0
251962604,0,199,0
155631208,0,201,0
11267302,0,201,0
275374424,0,199,0
14890735,0,198,0
280951231,0,201,0
1017914738,0,27,0
1227200887,0,200,0
21039946,1,201,1
68191922,0,88,0
20883508,2,200,2
271475860,1,203,1
745795364,0,201,0
160356798,11,199,10
333016219,0,200,0
191422128,1,200,1
726659041,0,200,0
296939494,0,201,0
543895677,2,200,2
532841420,0,185,0
22420772,0,200,0
